location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Finland,2021-01-03,Pfizer/BioNTech,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,67,67,0,0
Finland,2021-01-17,Pfizer/BioNTech,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,62122,62117,5,0
Finland,2021-01-24,Pfizer/BioNTech,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,120327,115365,4962,0
Finland,2021-01-31,Pfizer/BioNTech,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,176836,157155,19681,0
Finland,2021-02-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,232507,179486,53021,0
Finland,2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,288776,218872,69904,0
Finland,2021-02-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,373451,297027,76424,0
Finland,2021-02-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,476479,391462,85017,0
Finland,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,590421,502136,88285,0
Finland,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,714668,625466,89202,0
Finland,2021-03-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,842252,751838,90414,0
Finland,2021-03-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,952777,861351,91426,0
Finland,2021-04-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,1086457,993721,92736,0
Finland,2021-04-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,1260283,1161012,99271,0
Finland,2021-04-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,1495506,1365365,130141,0
Finland,2021-04-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,1717301,1556841,160460,0
Finland,2021-05-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,1931781,1753750,178031,0
Finland,2021-05-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,2176626,1959629,216997,0
Finland,2021-05-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,2413548,2124585,288963,0
Finland,2021-05-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,2690452,2305686,384766,0
Finland,2021-05-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,2964331,2469560,494771,0
Finland,2021-06-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,3264354,2647566,616788,0
Finland,2021-06-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,3609576,2867648,741928,0
Finland,2021-06-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,3954634,3093670,860964,0
Finland,2021-06-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,4217126,3229102,988024,0
Finland,2021-07-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov,4543218,3380819,1162399,0
